id,row_count,Title,Author,all_Author,Year,DOI,Country,Task,Index_task,Measure,Index_measure,C_Mean,C_Sd,ASD_Mean,ASD_Sd,Condition,Index_condition,Synch_type,c_n,c_m_f_ratio,c_age_range,c_age_m,c_age_sd,asd_n,asd_m_f_ratio,asd_age_range,asd_age_m,asd_age_sd
1,1,Patterns of joint improvisation in adults with autism spectrum disorder,Brezis,"Brezis R.-S., Noy L., Alony T., Gotlieb R., Cohen R., Golland Y., Levit-Binnun N.",2017,10.3389/fpsyg.2017.01790,Israel,joint improvisation-the mirror game paradigm: collaborative game to create movements together like a conversation of movement,1,% of Co-Confident motion (periods of high synchrony with little jitter),3,10.9,12.8,9.8,14.7,leading,1,instructed,35,28:7,19 - 45,25.9,6.37,34,31:3,20 - 45,28.6,6.26
1,2,Patterns of joint improvisation in adults with autism spectrum disorder,Brezis,"Brezis R.-S., Noy L., Alony T., Gotlieb R., Cohen R., Golland Y., Levit-Binnun N.",2017,10.3389/fpsyg.2017.01790,Israel,joint improvisation-the mirror game paradigm: collaborative game to create movements together like a conversation of movement,1,% of Co-Confident motion (periods of high synchrony with little jitter),3,25.7,10.9,8.2,6.7,following,2,instructed,35,28:7,19 - 45,25.9,6.37,34,31:3,20 - 45,28.6,6.26
1,3,Patterns of joint improvisation in adults with autism spectrum disorder,Brezis,"Brezis R.-S., Noy L., Alony T., Gotlieb R., Cohen R., Golland Y., Levit-Binnun N.",2017,10.3389/fpsyg.2017.01790,Israel,joint improvisation-the mirror game paradigm: collaborative game to create movements together like a conversation of movement,1,% of Co-Confident motion (periods of high synchrony with little jitter),3,12.5,13.9,10.3,13,just improvvisation,3,instructed,35,28:7,19 - 45,25.9,6.37,34,31:3,20 - 45,28.6,6.26
1,4,Patterns of joint improvisation in adults with autism spectrum disorder,Brezis,"Brezis R.-S., Noy L., Alony T., Gotlieb R., Cohen R., Golland Y., Levit-Binnun N.",2017,10.3389/fpsyg.2017.01790,Israel,joint improvisation-the mirror game paradigm: collaborative game to create movements together like a conversation of movement,1,CC duration,4,2.19,1.2,1.99,1.6,leading,1,instructed,35,28:7,19 - 45,25.9,6.37,34,31:3,20 - 45,28.6,6.26
1,5,Patterns of joint improvisation in adults with autism spectrum disorder,Brezis,"Brezis R.-S., Noy L., Alony T., Gotlieb R., Cohen R., Golland Y., Levit-Binnun N.",2017,10.3389/fpsyg.2017.01790,Israel,joint improvisation-the mirror game paradigm: collaborative game to create movements together like a conversation of movement,1,CC duration,4,3.78,1.4,2.05,1.2,following,2,instructed,35,28:7,19 - 45,25.9,6.37,34,31:3,20 - 45,28.6,6.26
1,6,Patterns of joint improvisation in adults with autism spectrum disorder,Brezis,"Brezis R.-S., Noy L., Alony T., Gotlieb R., Cohen R., Golland Y., Levit-Binnun N.",2017,10.3389/fpsyg.2017.01790,Israel,joint improvisation-the mirror game paradigm: collaborative game to create movements together like a conversation of movement,1,CC duration,4,4.6,4.5,3.1,3.5,just improvvisation,3,instructed,35,28:7,19 - 45,25.9,6.37,34,31:3,20 - 45,28.6,6.26
2,7,Dynamical methods for evaluating the time-dependent unfolding of social coordination in children with autism,Fitzpatrick,"Fitzpatrick, Paula; Diorio, Rachel; Richardson, Michael J.; Schmidt, R. C.",2013,10.3389/fnint.2013.00024,USA,synchronization: object directed movements,1,Percentage of time spent in relative phase,1,21.63,11.84,22.84,2.5,body - object,1,instructed,3,1:2,4 - 5.6,4.8,0.75,5,4:1,5 - 7.4,6.21,1.17
2,8,Dynamical methods for evaluating the time-dependent unfolding of social coordination in children with autism,Fitzpatrick,"Fitzpatrick, Paula; Diorio, Rachel; Richardson, Michael J.; Schmidt, R. C.",2013,10.3389/fnint.2013.00021,USA,synchronization: object directed movements,1,Percentage of time spent in relative phase,1,40.7,10.26,22.9,2.99,object - object,2,instructed,3,1:2,4 - 5.6,4.8,0.75,5,4:1,5 - 7.4,6.21,1.17
2,9,Dynamical methods for evaluating the time-dependent unfolding of social coordination in children with autism,Fitzpatrick,"Fitzpatrick, Paula; Diorio, Rachel; Richardson, Michael J.; Schmidt, R. C.",2013,10.3389/fnint.2013.00025,USA,synchronization: body directed  movements,2,Percentage of time spent in relative phase,1,13.8,4.25,19.5,7.51,body - body,3,instructed,3,1:2,4 - 5.6,4.8,0.75,5,4:1,5 - 7.4,6.21,1.17
2,10,Dynamical methods for evaluating the time-dependent unfolding of social coordination in children with autism,Fitzpatrick,"Fitzpatrick, Paula; Diorio, Rachel; Richardson, Michael J.; Schmidt, R. C.",2013,10.3389/fnint.2013.00026,USA,synchronization: space directed movements,3,Percentage of time spent in relative phase,1,26.6,7.12,29.42,11.27,face - alone,4,instructed,3,1:2,4 - 5.6,4.8,0.75,5,4:1,5 - 7.4,6.21,1.17
